seed,gps_rmse,ekf_rmse,rejected_gps
100,5.216434988521871,0.28940440833765146,1736
101,5.200027859827902,0.2766133597519664,1728
102,5.295384413226377,0.2775425603739136,1754
103,5.254227190781248,0.2833547102111015,1767
104,5.30909980527594,0.2813572765517219,1796
105,5.246888402849015,0.30266448990589295,1677
106,5.258676196714042,0.32080646380990946,1766
107,5.331299459393203,0.2969896679647272,1767
108,5.310596879571741,0.31703012066095504,1769
109,5.298435093825799,0.27840096799392006,1798
110,5.200126741432052,0.2781966567515058,1707
111,5.387396115887233,0.2845811756565244,1822
112,5.190457840167926,0.2778800640298994,1744
113,5.327925085381721,0.3054718115506338,1757
114,5.179542583837523,0.28624156600018813,1714
115,5.296897472023062,0.29051743080242715,1809
116,5.146491063616928,0.2774312238370475,1710
117,5.334286637298728,0.2892887448014316,1752
118,5.354564236199926,0.27833930313712507,1798
119,5.214912750840579,0.30761896061049265,1718
120,5.245889651691202,50.740390272566025,2148
121,5.263384750453969,0.27792123361147675,1744
122,5.22882768640353,0.2943586882243491,1712
123,5.330509208209706,0.4830838835221684,1794
124,5.221963781260835,0.2766918879652893,1722
125,5.315453997087226,0.2780714559598926,1803
126,5.279623534978788,0.2929978852063405,1761
127,5.216362022934679,0.2774603098567188,1765
128,5.249680226557516,0.27867285878940407,1812
129,5.227426471485682,0.27814361682925304,1768
130,5.255562727196826,0.27842665384886617,1729
131,5.358750707250489,0.2816848312705449,1776
132,5.473235773251356,0.27849408425423544,1816
133,5.191541050525021,0.29163146074622015,1698
134,5.1292163203737795,0.2982779418635212,1723
135,5.247074356312008,0.28653816545494015,1713
136,5.248579123615168,0.29454662880462146,1741
137,5.219256484056944,0.2879156575696502,1748
138,5.2393084251629185,0.27746025333374325,1704
139,5.14651289048246,0.27765985466184623,1736
140,5.44431617366309,0.2806188323543914,1842
141,5.3538353853920615,0.31989843446111904,1796
142,5.298033963744214,0.31454950561404005,1786
143,5.257716131542862,0.2782173530429257,1709
144,5.214353648920211,0.28497211165707026,1711
145,5.301803893426906,0.28085551487468036,1766
146,5.296261914837169,0.2792807551942397,1741
147,5.185732754115801,0.27869437036339045,1740
148,5.2250779762328134,0.3292424896190168,1711
149,5.21047144842408,0.2782736503502421,1675
150,5.15668246855625,0.2816103467321471,1737
151,5.107859672464397,0.30744204654294993,1655
152,5.290309063027065,0.2796533389479722,1788
153,5.228964462635136,0.2785128389126278,1706
154,5.241891819752116,0.3516705213772414,1773
155,5.2838792973919615,0.2795053513568471,1781
156,5.274939564875292,0.28368598660885225,1785
157,5.266758644660371,0.29135237743474546,1747
158,5.338666512346334,0.2776410789116694,1742
159,5.280309975137715,0.2792174679295884,1774
160,5.344437056230365,0.28468654943001875,1765
161,5.259976999126513,0.27874364751801606,1770
162,5.260194950841311,0.27807045686595855,1765
163,5.269343597640411,0.27817064294851607,1775
164,5.259046298826956,0.34008141254184227,1733
165,5.280319144440087,0.2885824621120956,1749
166,5.248381404236985,0.2979891418820285,1751
167,5.115451849864696,0.2773651113054897,1693
168,5.168561612637686,0.27789081702997137,1719
169,5.194625115490292,0.27857506835054446,1676
170,5.348964453187768,0.27843627024847734,1763
171,5.255028099134655,0.29561194248491823,1726
172,5.191956248431631,0.2792305056598103,1739
173,5.218399237183367,0.27744719195062184,1712
174,5.207515913688834,0.2792258205086422,1756
175,5.388053892243023,0.27819784810198367,1793
176,5.256937654850098,0.2789146652365044,1789
177,5.248541091927276,0.31491109604874934,1729
178,5.27237086351103,0.2785120692726813,1808
179,5.2133159383201555,0.2780566969808306,1754
180,5.278211950155175,0.2783157619612114,1801
181,5.192083491197636,0.2790614436760648,1695
182,5.1976760883149264,0.3449944177617702,1696
183,5.185470002887624,0.2781799088649797,1724
184,5.32987234076242,0.27846710969573235,1800
185,5.359309691954354,0.2794516353782176,1836
186,5.237430224777092,0.28136057740243325,1760
187,5.340786709417377,0.29306764259409457,1787
188,5.35270788839003,0.2783908494372118,1795
189,5.32922038629516,0.2844078750611527,1794
190,5.454941361874121,0.27866967173137375,1809
191,5.289706795239076,0.2791456826412653,1776
192,5.102163575493204,0.2866683151588836,1687
193,5.302389452878065,0.2783035223270973,1821
194,5.367560206032534,0.30149491298394987,1770
195,5.1501641936028815,0.3015773079420424,1667
196,5.215763551759358,0.2834661433199843,1793
197,5.220960086524719,0.3018820125983424,1675
198,5.322229714593142,0.2784883238173686,1735
199,5.201510898003299,0.2778498035006952,1739
200,5.172355520999259,0.27894802939117935,1733
201,5.263981618848412,0.356353258610289,1799
202,5.188581853560688,0.27785323304153087,1675
203,5.3814312622910885,0.3035813974199077,1781
204,5.184463679825306,0.27864491521090573,1724
205,5.302253507235178,0.27775055577131913,1771
206,5.247113974765086,0.27850089953162127,1780
207,5.31174509292442,0.2833829528504717,1781
208,5.167413755606022,0.27764104758204267,1734
209,5.21514460803076,0.3183331130832955,1697
210,5.17144270057499,0.28648494946175806,1697
211,5.131821331652984,0.2968600906544021,1736
212,5.318741490169947,0.30653109538901224,1775
213,5.0985691444447925,0.27785797688876473,1715
214,5.36195052313512,0.28453546314054606,1845
215,5.1618599767039095,0.2963867397794432,1725
216,5.13254644430004,0.2792233581353093,1710
217,5.303373770756806,0.2783758989365605,1738
218,5.121834086734291,0.27814959025250996,1671
219,5.280058690217744,1.5107270834754212,1822
220,5.316751392287015,0.30619827622656837,1795
221,5.285730457044823,0.27847808017386666,1761
222,5.287431103474527,0.2844609090917027,1754
223,5.149097017495754,0.28565315201092295,1754
224,5.381733945144297,0.2783340328879312,1773
225,5.237886483183026,0.2777155768423267,1759
226,5.329331089303835,48.85140008029936,2222
227,5.303415138821599,0.27833005614865824,1742
228,5.208187006811628,0.4794059355836808,1763
229,5.210170417349099,1.0426806354819111,1796
230,5.29347598917753,0.2780749052011011,1765
231,5.265608010126716,0.31989335280650927,1748
232,5.204846496583997,0.2816133119875995,1744
233,5.195585869564757,0.277643441935884,1751
